timestamp,consumption,temperature,humidity,location,meter_id
2023-01-01 00:00:00,5.14,29.88,46.96,Zvishavane,MTR-2456
2023-01-01 01:00:00,22.19,18.97,68.23,Bindura,MTR-1131
2023-01-01 02:00:00,3.14,23.33,42.83,Rusape,MTR-5959
2023-01-01 03:00:00,0.0,29.84,36.23,Bulawayo,MTR-8256
2023-01-01 04:00:00,3.56,30.42,71.14,Mutare,MTR-5615
2023-01-01 05:00:00,17.14,25.99,31.35,Kwekwe,MTR-2047
2023-01-01 06:00:00,22.67,16.98,29.09,Kadoma,MTR-3767
2023-01-01 07:00:00,17.71,20.27,71.53,Mutare,MTR-7079
2023-01-01 08:00:00,2.53,33.0,61.69,Kadoma,MTR-4160
2023-01-01 09:00:00,4.9,17.02,44.58,Victoria Falls,MTR-4595
2023-01-01 10:00:00,3.15,32.55,66.0,Masvingo,MTR-7152
2023-01-01 11:00:00,13.97,18.68,34.46,Chipinge,MTR-2408
2023-01-01 12:00:00,3.51,29.63,36.9,Gweru,MTR-9966
2023-01-01 13:00:00,3.24,33.52,72.4,Rusape,MTR-7102
2023-01-01 14:00:00,21.75,16.08,36.25,Gweru,MTR-5938
2023-01-01 15:00:00,4.55,32.27,32.5,Harare,MTR-5151
2023-01-01 16:00:00,19.87,33.27,25.44,Victoria Falls,MTR-8411
2023-01-01 17:00:00,21.95,26.65,34.14,Hwange,MTR-7806
2023-01-01 18:00:00,2.79,29.88,33.67,Chipinge,MTR-8417
2023-01-01 19:00:00,2.67,23.23,54.16,Hwange,MTR-6178
2023-01-01 20:00:00,23.14,30.47,77.12,Harare,MTR-4023
2023-01-01 21:00:00,4.33,26.69,39.78,Gweru,MTR-7178
2023-01-01 22:00:00,16.94,22.88,73.31,Chipinge,MTR-8489
2023-01-01 23:00:00,2.44,28.3,49.32,Hwange,MTR-4570
2023-01-02 00:00:00,20.36,30.41,41.46,Zvishavane,MTR-2394
2023-01-02 01:00:00,17.89,27.06,64.35,Harare,MTR-6378
2023-01-02 02:00:00,0.0,32.32,67.41,Chinhoyi,MTR-4588
2023-01-02 03:00:00,0.0,20.56,73.71,Mutare,MTR-8959
2023-01-02 04:00:00,2.43,21.68,73.68,Kwekwe,MTR-7419
2023-01-02 05:00:00,0.87,28.34,36.4,Bulawayo,MTR-8077
2023-01-02 06:00:00,0.0,27.31,57.07,Chinhoyi,MTR-3097
2023-01-02 07:00:00,3.25,31.28,41.77,Hwange,MTR-4295
2023-01-02 08:00:00,2.67,26.31,39.13,Hwange,MTR-6021
2023-01-02 09:00:00,3.7,20.56,24.27,Zvishavane,MTR-3349
2023-01-02 10:00:00,0.22,32.53,26.02,Mutare,MTR-4247
2023-01-02 11:00:00,6.48,17.42,69.85,Zvishavane,MTR-2351
2023-01-02 12:00:00,2.78,24.39,76.09,Kadoma,MTR-7136
2023-01-02 13:00:00,0.0,26.41,47.93,Marondera,MTR-3629
2023-01-02 14:00:00,0.0,19.17,63.28,Chipinge,MTR-3155
2023-01-02 15:00:00,4.27,17.97,26.17,Chinhoyi,MTR-2132
2023-01-02 16:00:00,1.61,24.5,67.4,Chipinge,MTR-5911
2023-01-02 17:00:00,22.31,23.89,51.44,Hwange,MTR-4422
2023-01-02 18:00:00,1.16,24.43,58.9,Hwange,MTR-7421
2023-01-02 19:00:00,1.99,27.43,58.3,Bindura,MTR-9424
2023-01-02 20:00:00,0.0,32.54,71.49,Rusape,MTR-7227
2023-01-02 21:00:00,6.82,20.93,59.17,Harare,MTR-5089
2023-01-02 22:00:00,2.19,24.03,48.67,Rusape,MTR-8631
2023-01-02 23:00:00,0.53,33.07,44.67,Bulawayo,MTR-7293
2023-01-03 00:00:00,21.74,24.61,29.76,Marondera,MTR-7316
2023-01-03 01:00:00,1.68,19.7,35.56,Bindura,MTR-2281
2023-01-03 02:00:00,0.51,33.49,34.57,Bulawayo,MTR-1872
2023-01-03 03:00:00,3.64,15.29,76.2,Marondera,MTR-9361
2023-01-03 04:00:00,0.73,26.34,65.34,Harare,MTR-8765
2023-01-03 05:00:00,5.43,24.69,64.23,Zvishavane,MTR-5490
2023-01-03 06:00:00,-0.54,16.35,39.94,Zvishavane,MTR-5665
2023-01-03 07:00:00,20.48,34.94,61.85,Bulawayo,MTR-1150
2023-01-03 08:00:00,15.11,19.35,29.84,Chipinge,MTR-1668
2023-01-03 09:00:00,3.58,28.53,46.43,Chipinge,MTR-7390
2023-01-03 10:00:00,23.16,21.4,48.06,Mutare,MTR-3383
2023-01-03 11:00:00,16.7,26.08,58.41,Victoria Falls,MTR-4100
2023-01-03 12:00:00,22.14,32.65,60.97,Bulawayo,MTR-8755
2023-01-03 13:00:00,3.58,19.94,53.1,Gweru,MTR-4762
2023-01-03 14:00:00,0.92,16.23,62.61,Mutare,MTR-8732
